stock_code,bsns_year,roe,roa,operating_margin,net_margin,debt_ratio,equity_ratio,log_assets,log_revenue,log_employees,capital_change_count
000020,2025,0.0006008946195394944,0.00036910681308729466,0.011228852997586976,0.0019805726093587053,0.6279694609630013,0.6142621369619948,27.20733365999236,25.527278449988383,6.416732282512326,1
000040,2025,-0.06521486582705827,-0.02781265862179708,-0.3701031131842535,-0.7845174639023283,1.3447907916271145,0.42647728043407773,25.289236212565957,21.949658642900978,3.6109179126442243,37
000040,2025,-0.06521486582705827,-0.02781265862179708,-0.3701031131842535,-0.7845174639023283,1.3447907916271145,0.42647728043407773,25.289236212565957,21.949658642900978,3.6109179126442243,37
000050,2025,0.020290798239202237,0.012972335454881497,0.11074628095441359,0.1641860197664207,0.5641592302153118,0.6393211002324531,27.83520877916299,25.29702777530517,3.6888794541139363,5
000070,2025,0.010595250756604288,0.006136390559476671,0.05219980089535155,0.03840183456565611,0.7266258811120851,0.5791642595765564,29.347942266675048,27.514073745616972,0.0,12
000080,2025,0.02822196940948189,0.009857596972196885,0.08124152137050993,0.05066691500075942,1.8629664500467276,0.34928806098432574,28.86687632238889,27.229845613017094,0.0,1
000100,2025,0.00954986516886339,0.00693412009844915,0.038619814667543696,0.03713913466175122,0.37722811737847806,0.7260961255303711,28.747143107527567,27.0689260185755,0.0,139
000120,2025,0.016817194450338878,0.007097438617591237,0.04823158174995326,0.02394389997940469,1.3694737434793594,0.42203464070953994,29.967572815014694,28.751593182617697,0.0,1
000140,2025,0.026369865931309525,0.007830097868979966,0.087174117465543,0.04801714365129548,2.367756875144238,0.29693354867167215,29.037921352157152,27.22433825477052,2.1972245773362196,1
000150,2025,0.00909729286707364,0.003444246626637429,0.05194295615925469,0.025032314286901457,1.6413012345620566,0.3786012692966488,31.107918898775104,29.124456531605873,6.626717749249025,1
000180,2025,-0.0016716291222506892,-0.001339310306269234,-0.03636827161834472,-0.0302882965947498,0.2481268264911351,0.8012006302366762,27.287379202321283,24.16877260009587,3.1354942159291497,1
000210,2025,0.00510003825449712,0.0020720972351257138,0.07880699080660405,0.017994452429937583,1.4612929200630405,0.40629052797762377,30.12038000711238,27.958877746502143,0.0,1
000220,2025,0.031039828241350733,0.021329944154518683,0.13191762892354872,0.11424391495114941,0.4552231368489094,0.68717983838916,26.033599541017008,24.35537568781788,5.062595033026967,24
000230,2025,0.048727677585399094,0.018502834606200468,0.04340636346972703,0.10002241500428918,1.6335250042752916,0.37971919703689533,27.424759272232638,25.737288903628716,3.9318256327243257,4
000240,2025,0.02826018938790603,0.025724987034630206,0.35630096003881107,0.3372198890114719,0.09855018973821095,0.9102906807000818,29.249044503789996,26.675772074291732,0.0,1
000250,2025,0.01256763818822779,0.008418344778512379,0.05917557197239753,0.07688753685872875,0.4928870839676681,0.669843024793466,26.996060246064523,24.784129678965325,5.720311776607412,1
000270,2025,0.024208271531012435,0.014517329315572005,0.050974311997157365,0.049587191148083645,0.6675430449211788,0.5996846696375792,31.96367371277039,29.57799866467638,0.0,1
000300,2025,0.09513768409225135,0.05018309848313976,0.4123232354189607,0.2801465110181887,0.8958112784569329,0.5274786638119038,24.775331052653605,23.05569661918133,4.430816798843313,22
000320,2025,0.024954821112011877,0.01574786398054114,0.06261984383743426,0.06291725138430707,0.5846479968869,0.631054973700492,27.860059729589178,26.474944072439587,3.9512437185814275,1
000370,2025,0.013479654333524419,0.0017230439364279806,0.0,0.0,6.823163442639141,0.12782552829583352,30.662222026431827,0.0,0.0,3
000370,2025,0.013479654333524419,0.0017230439364279806,0.0,0.0,6.823163442639141,0.12782552829583352,30.662222026431827,0.0,0.0,3
000390,2025,0.0022801992521079132,0.0012027410330217299,0.008656842860088982,0.004772965301947972,0.8958355868006015,0.5274719004972329,27.148287625046613,25.76992300287975,6.626717749249025,3
000400,2025,0.08720868245181446,0.0034622916190048102,0.0,0.0,11.938598324138757,0.062202358574737056,30.33127399678606,0.0,0.0,3
000400,2025,0.08720868245181446,0.0034622916190048102,0.0,0.0,11.938598324138757,0.062202358574737056,30.33127399678606,0.0,0.0,3
000430,2025,-0.005314988996321428,-0.0026356869946357092,-0.00868440286612031,-0.009388196058242166,1.0165478704940216,0.4958969804942028,27.95960402275336,26.689294728103228,0.0,1
000440,2025,-0.002438389407071116,-0.0023019307159098863,-0.015376258799764505,-0.009909447931609633,0.05928010353139214,0.9440373671385254,24.730428499604372,23.270688073588207,4.0943445622221,3
000480,2025,-5.5728654559625786e-05,-2.862980701188384e-05,0.08440394240141737,-0.00021128545223741296,0.9465256799144189,0.5137358373016513,28.101642546171565,26.102880851098295,3.2188758248682006,14
000490,2025,-0.005464480038562415,-0.0016519698600658507,0.0012705420144531188,-0.010503005017032446,2.3078569837494434,0.3023105306283537,28.442530969388525,26.592837991494402,0.0,1
0004Y0,2025,0.0007450797796321188,0.0006497897351693093,-7.079045e+16,7.737005e+16,0.14664750657838668,0.8721075956324319,23.200386951622534,0.0,0.0,2
000500,2025,0.03982157493558163,0.014813619632841439,0.040231328737058945,0.02874808173669948,1.688173175939941,0.37199984322079327,27.862366681771107,27.19934264202234,5.187385805840755,1
000520,2025,-0.05538487893218837,-0.02099692767371744,-0.10072895838740914,-0.15485799493954758,1.6377610949965542,0.379109390117571,26.656668722038308,24.658536312517708,5.963579343618446,1
000540,2025,0.030283063024579997,0.0020321831453218313,0.0,0.0,11.938598324138757,0.06710626146609938,30.20492472568657,0.0,0.0,1
000540,2025,0.030283063024579997,0.0020321831453218313,0.0,0.0,11.938598324138757,0.06710626146609938,30.20492472568657,0.0,0.0,1
000590,2025,0.018524229054217547,0.01712410517865844,0.16723895475339515,0.23570558758605228,0.08176333075225828,0.9244166182861827,26.76721214617406,24.145115760637946,1.3862943611198906,1
000640,2025,0.04075138002392333,0.022120110584409866,0.08705225225393805,0.12319766279000671,0.8422774094377579,0.5428064171427844,28.38756608998549,26.67026318586534,0.0,5
000650,2025,-0.14829559016803529,-0.031078837105883567,-0.15073800944747492,-0.15350881186695256,3.771593919772542,0.20957357579323707,24.709251927646967,23.11202106468503,5.6240175061873385,2
000660,2025,0.12596747050252716,0.07628700185102387,0.4655987180460952,0.5152592982702842,0.48425710349647144,0.6737377221535914,31.96367371277039,29.57799866467638,0.0,1
000670,2025,-0.031207598728768153,-0.02189626149016164,-0.011688679846985392,-0.17082849567966224,0.4252478096678857,0.7016323710281808,29.39712410459265,27.34277991466138,0.0,2
000680,2025,-0.004187794628058841,-0.00037398040678064155,-0.0005318826681990951,-0.006774091243319446,10.197898478449419,0.08930247063094206,29.982490760341694,27.08583366517472,4.1588830833596715,1
000700,2025,0.029732419874103907,0.025576478179297302,0.10618903926724009,0.11628192736288381,0.1624907724070706,0.8602218819590156,26.89283187234064,25.378487329596,0.0,1
000720,2024,-0.07924172853098735,-0.02837289673892818,-0.038671859073822104,-0.023453159306804583,1.792867054080739,0.3580549953277837,30.92705740649096,29.57799866467638,6.626717749249025,1
000720,2025,0.006841413006421106,0.002525127112621183,0.013229209749632945,0.008666360270512794,1.7093341052916127,0.36909438302455777,30.921690058598497,29.57799866467638,6.626717749249025,1
000760,2025,-0.003040904704024317,-0.0023294736420487083,-0.04717686747175976,-0.05510773997121234,0.3054042119789449,0.7660462489883012,26.323552962081227,23.1599051218816,3.258096538021482,1
000810,2025,0.028749359287186856,0.00594784441804615,0.0,0.0,3.8335762112336726,0.20688615557067427,31.96367371277039,0.0,0.0,1
000850,2025,0.016476715840199836,0.012995788357798941,0.05599105913068332,0.08484684049177042,0.267850428659216,0.7887365712827225,26.784918339926108,24.908695917842504,5.3981627015177525,1
000860,2025,0.0008091378045710707,0.00058599144429213,0.02970054119259142,0.003876135606752836,0.3808013964239675,0.7242171123159521,27.60599709565314,25.716708326284255,6.3818160174060985,1
000880,2025,0.022267094599214828,0.003612970454248916,0.07557401162908045,0.057670663285772666,5.1630990015510205,0.16225603381486126,31.96367371277039,29.57799866467638,0.0,2
000880,2025,0.022267094599214828,0.003612970454248916,0.07557401162908045,0.057670663285772666,5.1630990015510205,0.16225603381486126,31.96367371277039,29.57799866467638,0.0,2
000890,2025,0.006400890676060873,0.003963216196391027,0.045302671367291936,0.02306794001889959,0.6150748177426292,0.6191663624584823,25.688615568922128,23.92722765983235,4.875197323201151,30
