rcept_dt,corp_cls,corp_name,stock_code,report_nm,rcept_no,flr_nm
20251203,E,여수죽림비에스피에프브이,,특수관계인에대한자산양도,20251203000161,여수죽림비에스피에프브이
20251203,E,케이비증권,003450,일괄신고추가서류(파생결합증권-주가연계증권),20251203000160,케이비증권
20251203,E,에스밸류기업구조조정부동산투자회사,,특수관계인의유상증자참여,20251203000159,에스밸류기업구조조정부동산투자회사
20251203,Y,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000158,삼성증권
20251203,Y,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000157,DB증권
20251203,Y,현대차증권,001500,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000156,현대차증권
20251203,K,이화공영,001840,[기재정정]단일판매ㆍ공급계약체결              ,20251203900244,이화공영
20251203,E,해파랑우리,,특수관계인으로부터자금차입,20251203000155,해파랑우리
20251203,E,하나증권,,투자설명서(일괄신고),20251203000153,하나증권
20251203,Y,미래에셋증권,006800,투자설명서(일괄신고),20251203000152,미래에셋증권
20251203,K,제노코,361390,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20251203900248,제노코
20251203,E,에스밸류기업구조조정부동산투자회사,,최대주주등의주식보유변동,20251203000151,에스밸류기업구조조정부동산투자회사
20251203,Y,애경케미칼,161000,최대주주등소유주식변동신고서              ,20251203800247,애경케미칼
20251203,E,아이비케이투자증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000149,아이비케이투자증권
20251126,E,케이비위파크제일차유동화전문유한회사,,자산양도등의등록신청서,20251126000118,케이비증권
20251203,Y,광명전기,017040,주식등의대량보유상황보고서(일반),20251203000148,피앤씨테크
20251203,Y,유진증권,001200,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000147,유진증권
20251203,K,아이진,185490,유상증자또는주식관련사채등의청약결과(자율공시)              ,20251203900243,아이진
20251203,Y,유안타증권,003470,투자설명서(일괄신고),20251203000146,유안타증권
20251203,K,DMS,068790,[기재정정]주주총회소집공고,20251203000145,DMS
20251203,K,삼화네트웍스,046390,주식등의대량보유상황보고서(일반),20251203000144,신상윤
20251203,E,한국투자증권,,투자설명서(일괄신고),20251203000143,한국투자증권
20251203,E,제이엠투,,감사보고서 (2024.12),20251203000142,예지회계법인
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한신종개인연금증권자투자신탁제1호[채권]),20251127000061,신한자산운용
20251203,Y,유안타증권,003470,증권발행실적보고서,20251203000140,유안타증권
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한퇴직연금명품펀드셀렉션40증권자투자신탁[채권혼합-재간접형]),20251127000103,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한MAN글로벌하이일드증권투자신탁(UH)[채권-재간접형]),20251127000108,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한글로벌밸런스EMP증권투자신탁[채권혼합-재간접형]),20251127000220,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한공모주&밴드트레이딩30증권자투자신탁제2호[채권혼합]),20251127000242,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한베스트중단기증권자투자신탁[채권]),20251127000243,신한자산운용
20251203,Y,깨끗한나라,004540,대표이사(대표집행임원)변경(안내공시)              ,20251203800235,깨끗한나라
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한코리아액티브증권투자신탁[주식]),20251127000416,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한달러단기자금증권자투자신탁제1호(USD)[채권]),20251127000444,신한자산운용
20251127,E,신한자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(신한ROBO잘고른ETF증권투자신탁[주식-재간접형]),20251127000491,신한자산운용
20251203,E,에스밸류기업구조조정부동산투자회사,,유상증자결정,20251203000139,에스밸류기업구조조정부동산투자회사
20251203,E,하나증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000138,하나증권
20251203,K,DMS,068790,[기재정정]주주총회소집결의              (임시주주총회),20251203900226,DMS
20251203,K,차바이오텍,085660,[기재정정]주주총회소집결의              (임시주주총회),20251203900225,차바이오텍
20251203,Y,유안타증권,003470,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000137,유안타증권
20251203,Y,LG에너지솔루션,373220,임원ㆍ주요주주특정증권등소유상황보고서,20251203000136,이동형
20251203,Y,키움증권,039490,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000135,키움증권
20251203,K,보로노이,310210,기업설명회(IR)개최              ,20251203900229,보로노이
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자글로벌선진국증권자투자신탁H(주식)),20251127001394,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자MySuper알아서인컴추구형증권자투자신탁(채권혼합-재간접형)),20251127001359,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TIF알아서평생소득월지급식증권자투자신탁(채권-재간접형)),20251127001334,한국투자신탁운용
20251203,K,정원엔시스,045510,소송등의판결ㆍ결정              (회계장부등 열람ㆍ등사 가처분),20251203900223,정원엔시스
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TIF알아서평생소득증권자투자신탁(채권-재간접형)),20251127001327,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자글로벌선진국증권자투자신탁UH(주식)),20251127001323,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TIF알아서평생소득월지급식증권자투자신탁(채권혼합-재간접형)),20251127001317,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TIF알아서평생소득증권자투자신탁(채권혼합-재간접형)),20251127001312,한국투자신탁운용
20251203,Y,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000134,미래에셋증권
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자그레이터차이나증권자투자신탁1호(주식)),20251127001303,한국투자신탁운용
20251203,Y,유진증권,001200,투자설명서(일괄신고),20251203000133,유진증권
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자롱텀밸류증권자투자신탁1호(주식)),20251127001292,한국투자신탁운용
20251203,K,삼일기업공사,002290,단일판매ㆍ공급계약체결              ,20251203900217,삼일기업공사
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자MySuper알아서안정형증권자투자신탁(채권혼합-재간접형)),20251127001246,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)),20251127001210,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자금모으기특별자산투자신탁(금-재간접형)),20251127001162,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TIF알아서평생소득ETF포커스증권투자신탁(채권혼합-재간접형)),20251127001063,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2060증권투자신탁(혼합-재간접형)),20251127001048,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2055증권투자신탁(혼합-재간접형)),20251127001004,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2050증권투자신탁(혼합-재간접형)),20251127000974,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2045증권투자신탁(혼합-재간접형)),20251127000939,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2040증권투자신탁(혼합-재간접형)),20251127000925,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2035증권투자신탁(혼합-재간접형)),20251127000900,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자TDF알아서ETF포커스2030증권투자신탁(혼합-재간접형)),20251127000873,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자글로벌전기차&자율주행증권투자신탁(주식)),20251127000861,한국투자신탁운용
20251203,Y,HJ중공업,097230,[기재정정]단일판매ㆍ공급계약체결              ,20251203800218,HJ중공업
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자퇴직연금인덱스증권자투자신탁1호(주식)),20251127000839,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자삼성그룹증권자투자신탁2호(주식)),20251127000468,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자삼성그룹리딩플러스증권자투자신탁1호(주식)),20251127000455,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자베트남주식35증권자투자신탁(채권혼합)),20251127000448,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자신종개인연금글로벌이머징증권전환형자투자신탁1호(주식혼합)),20251127000431,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자인덱스플러스증권투자신탁1호(주식-파생형)),20251127000184,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자삼성그룹적립식증권투자신탁1호(주식)),20251127000165,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(한국투자삼성그룹적립식증권투자신탁2호(주식)),20251127000157,한국투자신탁운용
20251127,E,한국투자신탁운용,,[기재정정]증권신고서(집합투자증권-신탁형)(한국투자압축포트폴리오목표전환형증권투자신탁2호(주식)[운용전환일이후]한국투자압축포트폴리오목표전환형증권투자신탁2호(채권)),20251127000154,한국투자신탁운용
20251203,E,한국항공서비스,,대규모기업집단현황공시[분기별공시(개별회사용)],20251203000132,한국항공서비스
20251203,E,하나증권,,투자설명서(일괄신고),20251203000131,하나증권
20251127,E,디비자산운용,,[기재정정]일괄신고서(집합투자증권-신탁형)(DB더클래식증권자투자신탁제1호[주식]),20251127000181,디비자산운용
20251203,E,에이치에프에프구삼유동화전문유한회사,,자산유동화관련중요사항발생등보고서(기타),20251203000130,에이치에프에프구삼유동화전문유한회사
20251203,E,메리츠증권,008560,투자설명서(일괄신고),20251203000129,메리츠증권
20251203,Y,키움증권,039490,투자설명서(일괄신고),20251203000128,키움증권
20251203,E,메리츠증권,008560,투자설명서(일괄신고),20251203000127,메리츠증권
20251203,E,메리츠증권,008560,투자설명서(일괄신고),20251203000126,메리츠증권
