prdy_ctrt,price_change_1,price_change_5,price_change_10,price_vs_ma5,price_vs_ma20,tr_amount_change,spread,spread_pct,buy_pressure,buy_strength,volatility_5,volatility_10,momentum_5,momentum_10,RSI_3,SMA_3,SMA_5,Disparity_5,ATR_3,Vol_Ratio,disc_corp_code,disc_rcept_no,disc_rcept_dt,disc_bsns_year,disc_reprt_code,disc_fin_total_assets,disc_fin_total_liabilities,disc_fin_total_equity,disc_fin_revenue,disc_fin_op_income,disc_fin_net_income,disc_emp_total_count,disc_capital_change_count,disc_div_dps_common,stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15,sentiment_score,ai_score,volatility
1.35,0.0,0.0,0.0,0.0,7.15700073955606e-05,8.098149572921542e-06,0.0009541984732823517,0.09541984732823518,0.28388784622306373,0.6677464977915609,0.0,0.00022496041916721964,0.0,0.0,79.77332170880558,99833.33333333333,98980.0,1.0456657910688922,5140.740740740741,0.7910829575106544,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,005930,-0.12690666,-0.33490548,0.35283825,0.23929355,-0.034952853,-0.010341662,-0.16827027,0.1033828,-0.425627,-0.3641092,0.05336277,0.2643674,0.15514475,-0.029178651,0.111370884,0.4752357,0.6156780487804878,75.36,0.45959363184750796
-0.49,0.0,0.0016501650165017256,0.0016501650165017256,0.0004944783253667218,0.0009481799068309866,1.062732955681156e-05,0.001647446457990061,0.16474464579900608,0.590534351144888,0.42357130449850305,0.00045173008516468115,0.000851439769237963,500.0,500.0,73.96449704142012,289500.0,291800.0,1.0383824537354318,14259.259259259261,0.5776908808869582,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,006400,-0.12620153,-0.3199266,0.36789075,0.26434466,-0.04039472,-0.024631923,-0.13957535,0.084013045,-0.46946838,-0.3266515,0.06396276,0.29661852,0.12785581,0.0037758616,0.09221127,0.45130998,0.9998,72.12,0.0
2.66,0.0,0.0,0.0,0.0004719207173194792,0.0001769180869257492,9.462780910407531e-06,0.0011792452830188401,0.11792452830188402,0.23782858920479416,0.5156203804074941,0.0008343446621141013,0.0005562297941031516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,009540,-0.14968657,-0.32416227,0.39554423,0.2380912,-0.11168319,-0.054041903,-0.15569448,0.19835965,-0.3600683,-0.33304834,0.02906298,0.2626752,0.17735216,-0.04272625,0.11357378,0.47307244,0.21139999999999998,70.62,0.8155902739733965
0.72,0.0,0.0,0.0,0.0,-0.0005392773683262486,7.695036051691417e-06,0.0017985611510784897,0.17985611510784896,0.4084852663813494,0.49041173152779133,0.0,0.0007332708650946567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,009830,-0.15555307,-0.386726,0.31420103,0.08603746,-0.091728985,-0.15870304,-0.056716233,0.25431666,-0.32606488,-0.44658014,-0.07043979,0.19291992,0.1764154,-0.12502798,0.18464738,0.43571314,0.7531,80.67,0.0
-1.14,0.0,0.0007674597083653367,0.0007674597083653367,0.0001533977603926971,0.000767459708365305,6.21469325055024e-05,0.0007668711656441659,0.0766871165644166,0.8899876390495675,0.4902940611176431,0.000343218415579405,0.0005660865392427202,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,010130,-0.093361184,-0.10258658,0.28822315,0.32353365,0.15056278,0.06316892,-0.2617533,0.018938586,-0.49972907,-0.26118246,0.30721137,0.36127186,-0.08767935,0.032500602,0.3119552,0.22040564,0.0,50.0,0.0
0.82,0.0,0.0,0.0,0.0008103727714745501,0.0008103727714745501,-7.133089817923377e-06,0.002024291497974889,0.20242914979748888,0.46268822862693365,0.43534508694841123,0.0014328424008121184,0.0016545037217930007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,010140,-0.1329337,-0.31719345,0.37176332,0.30012175,-0.06455698,-0.022592317,-0.15473351,0.111956276,-0.4049588,-0.31432557,0.052016646,0.27559963,0.16466102,-0.021711648,0.09151406,0.4846325,0.35233333333333333,42.22,1.1206657500491988
9.07,0.0,0.0,0.0,0.0,0.00018487705675724957,0.00014656398291212902,0.0018484288354897653,0.18484288354897654,0.26965943204158943,0.7677753003837583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,011070,-0.12041796,-0.21473046,0.40807077,0.388998,-0.061503712,-0.030721806,-0.18915161,0.078284875,-0.40808168,-0.25591823,0.12357883,0.32348302,0.18364216,0.06615582,0.14557719,0.40457898,-0.8886000000000001,50.0,0.15683628406717634
0.79,0.0,0.0,0.0,0.00031308703819660883,0.00023479690068090365,7.521858253611846e-05,0.001564945226917009,0.1564945226917009,0.21431545347296707,0.5667203188468102,0.0011074508142286086,0.0007383005880933022,0.0,0.0,90.82568807339449,297166.6666666667,296700.0,1.0262891809908965,8500.0,1.2885497752567423,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,012330,0.13206828,0.21736535,-0.03212589,0.38398027,0.3219393,0.19081633,-0.42688337,-0.21376975,-0.11260261,0.07648143,0.4845515,0.07373397,-0.149547,0.06701526,0.36424342,-0.023885611,-0.645,50.0,0.0
5.95,0.0,0.0011467889908256534,0.0011467889908256534,0.0002291475710357444,0.0008598452278589755,4.953290470899319e-06,0.0011454753722794828,0.11454753722794828,0.26721379885899676,0.6274296752381877,0.000959001549415766,0.0008457401005387962,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,012450,-0.028359773,-0.2121332,0.27600065,0.4372924,0.08665902,0.07008831,-0.17591111,-0.119202465,-0.5231133,-0.19705358,0.19142745,0.30469388,0.06788783,0.124359205,0.08855644,0.3991758,0.29078333333333334,45.19,0.7799323981388814
0.0,-0.0019607843137254832,-0.0019607843137254832,0.0,-0.000785237534353988,-0.000981354268890877,-2.4913425845207726e-05,0.0019646365422393,0.19646365422393,0.6518656795420906,0.47361995064281764,0.0016418914668592849,0.0013084739966950738,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,015760,-0.11606081,-0.34276453,0.31103727,0.22546482,-0.05540449,-0.029455343,-0.20362052,0.17251392,-0.381159,-0.41666105,0.052312493,0.19449961,0.15589802,-0.093298614,0.14992729,0.4810008,0.9619,66.46,0.049193766542791464
0.75,0.0,0.0,-0.0018552875695733162,-0.0009285051067779149,-0.0008357321942611504,1.1864892789814618e-05,0.0018587360594792086,0.18587360594792085,0.5078183437221501,0.621689276485286,0.0011366548835065504,0.0009584002949699799,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,017670,-0.15013199,-0.37294966,0.3434897,0.20138264,-0.1275188,-0.07959324,-0.066591196,0.16714846,-0.39943343,-0.37800258,-0.057405084,0.22385654,0.2018922,-0.033640914,0.04778516,0.47417712,0.8733571428571428,67.04,0.2777610480636703
8.91,0.002049180327868827,0.002049180327868827,0.0010235414534287557,0.0012285012285011782,0.0005626886285743285,4.89775927503544e-06,0.002044989775051041,0.20449897750510407,0.3799234833301585,0.4479639000239978,0.001167890652531787,0.0010184954674829876,500.0,250.0,82.12290502793296,226000.0,223600.0,1.0353309481216413,10870.37037037037,0.7984975226261014,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,028260,-0.13004738,-0.309826,0.34797263,0.29140738,-0.043397687,-0.023047788,-0.19327196,0.10043086,-0.4391878,-0.3519653,0.08128238,0.25335622,0.15814452,-0.01842602,0.11520703,0.4528287,0.192325,64.81,0.7083016277217873
0.26,-0.0003208213025345241,0.0,0.0,-6.41807329439661e-05,-0.00012835322808367805,0.0002155085335362461,0.0006418485237483541,0.06418485237483541,0.6122336920704895,0.3597728631199284,0.0002268913219469537,0.00021391518978809845,0.0,0.0,88.48210612916495,148300.0,147760.0,1.0381700054141783,5985.185185185185,0.6216730196017571,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,032830,-0.0671421,-0.26238862,0.3216478,0.35529405,-0.020421863,0.043870527,-0.26107916,0.08145469,-0.4318418,-0.32540274,0.153597,0.24164352,0.14301655,0.018847054,0.14605801,0.45090386,0.7064250000000001,66.03,0.47796703076676744
-0.28,0.0006930006930006005,0.0006930006930006005,0.0006930006930006005,0.0005543237250553939,0.0005889893635449821,9.020610816889985e-05,0.0006925207756232207,0.06925207756232207,0.32113639744114064,0.36325340246234256,0.0003099193316007563,0.0005111818342961677,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,033780,-0.11483065,-0.3094394,0.3458455,0.30129936,-0.124212846,-0.06628871,-0.18764098,0.17836808,-0.4233722,-0.3602216,0.06113733,0.21143983,0.17369689,0.0059506623,0.14391458,0.43064818,0.0,69.38,0.469023927961037
4.4,0.0,0.0,-0.0012755102040816757,-0.0005105948429920207,-0.0007019335077530851,-0.0019843821773082304,0.001277139208173528,0.1277139208173528,0.25279563576237496,0.609658839166932,0.0009024979649616947,0.0009416938280012841,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,034020,-0.1357035,-0.32875654,0.33419815,0.21394254,-0.03583849,0.0003766874,-0.23630501,0.17409301,-0.37241018,-0.38724408,0.082315564,0.22832216,0.13122538,-0.09946414,0.16144282,0.47736752,0.9372666666666666,68.79,0.08408047732182942
1.23,-0.0010152284263958977,-0.0010152284263958977,0.0,-0.0006093845216331257,-0.0006093845216331257,0.0,0.0020325203252031694,0.20325203252031693,0.4707087000736072,0.507286720156989,0.0008497710350937121,0.0006771629153981478,-250.0,0.0,17.849898580121717,255166.66666666666,257000.0,0.9785992217898795,11444.444444444443,1.2367058163672768,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,035420,-0.14655529,-0.3572653,0.36137497,0.21144782,-0.11698618,-0.06959703,-0.10540258,0.17162375,-0.40002093,-0.36659828,-0.01836586,0.24042162,0.1813875,-0.043036893,0.064251624,0.4743989,0.78208,31.63,0.4377441798585105
-0.54,0.0,0.0009049773755656076,0.0,0.0009049773755654471,0.0006785795068987688,0.0001348902803679497,0.0018083182640141397,0.18083182640141396,0.5207300939523913,0.4410717051255365,0.0007573544103928914,0.0010449788041896858,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,047050,-0.08434315,-0.18231332,0.25297564,0.37730998,0.094531916,-0.072758935,-0.16594063,0.042261776,-0.5425279,-0.35274318,0.21426024,0.28181404,0.027080553,0.05922371,0.27514312,0.2927468,-0.1606,77.64,0.0
2.02,0.0013210039630118242,0.0,0.0,0.0005279831045406408,0.000461954728436601,1.3034106921994137e-05,0.0013192612137202819,0.1319261213720282,0.4301873758739053,0.6135527049634056,0.001320132645882529,0.0010778838386961628,0.0,0.0,77.76876267748477,372333.3333333333,374500.0,1.0560747663551373,23166.666666666668,1.334664571709316,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,051910,-0.028680805,-0.19270638,0.27973512,0.32096067,0.044257738,0.12911224,-0.4428842,0.087390706,-0.3432026,-0.3201441,0.28069505,0.18621135,0.09683944,-0.018916676,0.2560857,0.38639602,0.00039999999999999996,33.14,0.6715832957482479
-1.23,0.001245330012453305,0.001245330012453305,0.001245330012453305,0.000996015936254856,0.0008714054525082944,-2.2243298755775243e-05,0.0012437810945272086,0.12437810945272086,0.604534085296786,0.44321269427212084,0.0005569285124532488,0.0007065734517322351,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,055550,-0.14395295,-0.34482002,0.37018874,0.23938207,-0.12381164,-0.052697275,-0.1237353,0.16151007,-0.40030247,-0.34361708,-0.008113202,0.24184035,0.18803677,-0.01669973,0.078935884,0.4772798,0.9998,67.22,0.0
3.48,0.0,0.0011415525114155667,0.0011415525114155667,0.0005704506560182219,0.0011415525114154598,3.6951909363480695e-06,0.0005701254275940382,0.05701254275940382,0.3040920716108643,0.5619094367404746,0.0006506851191679339,0.0005895092785120652,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,064350,-0.09188147,-0.3080275,0.311155,0.31381541,-0.016813992,0.012733083,-0.22205517,0.08040641,-0.4158048,-0.36456737,0.100408755,0.22018318,0.13538031,-0.03464346,0.13345149,0.4934145,0.49995,35.38,0.7070360705084289
2.64,0.0011185682326622093,0.0,0.0,0.000447127207690538,0.0003912144414016217,-1.6004200368624488e-05,0.0011173184357540652,0.11173184357540651,0.29619773074957034,0.5036170453258146,0.0007905053866987363,0.0009127969670924802,0.0,0.0,42.85714285714285,84866.66666666667,85660.0,0.9969647443380691,2677.777777777778,0.9177602531397159,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,066570,-0.097187996,-0.2636415,0.31565621,0.3157792,0.07989812,0.0061633172,-0.24150428,0.030290084,-0.39179486,-0.36845732,0.15467311,0.2568193,0.13314168,-0.08025417,0.15499152,0.47822064,0.1655,73.64,0.8797679656212388
-0.54,-0.0005455537370431252,0.0,0.0,-0.00021829294913773092,-0.0001910115425546325,6.888107564795298e-05,0.0005458515283842496,0.054585152838424966,0.763181330349425,0.3193261924378287,0.0005457026367763327,0.0004455643404482503,0.0,0.0,57.17171717171716,183266.66666666666,184800.0,1.0021645021644967,6300.0,0.4053985554517043,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,068270,-0.14326407,-0.33579984,0.36712727,0.2703437,-0.06833973,-0.06969471,-0.09827599,0.12095488,-0.43772185,-0.32586434,0.020883257,0.27031344,0.14920053,-0.011101963,0.11319021,0.467483,0.271525,34.89,0.7027792768714797
1.11,0.0,0.0,0.0006082725060827521,0.00024322023592361405,0.0003344583295326501,1.7603625898754416e-05,0.000607902735562273,0.0607902735562273,0.8337662337631401,0.48989525569902037,0.0004299828921638381,0.00044870037384808553,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,071050,-0.15499438,-0.3520654,0.37026766,0.17632021,-0.14977928,-0.087899625,-0.13363728,0.23410082,-0.36398944,-0.3814772,-0.015836693,0.21796505,0.18059184,-0.07252374,0.092562854,0.45695052,0.0,70.56,0.0
-1.23,0.0,0.0,0.0,0.0,-5.202642942614307e-05,1.3608493805383759e-05,0.0010405827263266347,0.10405827263266347,0.6744378992779082,0.5160168718647309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,086790,-0.14017664,-0.34911186,0.36905482,0.24432577,-0.13092825,-0.0551374,-0.09139019,0.14407864,-0.41657302,-0.33705604,-0.024688296,0.24741909,0.19270043,0.002713463,0.039867584,0.47495902,0.6665333333333333,67.68,0.5772347991357879
0.0,0.0007581501137225999,0.0,0.0007581501137225999,0.0006064281382655695,0.0004926668435213936,7.788707931277727e-06,0.0007575757575757001,0.07575757575757001,0.37701660971121587,0.4953645250891038,0.0005358900440918467,0.0005592220162398923,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105560,-0.15237,-0.34598368,0.36671972,0.21074681,-0.117436334,-0.058518562,-0.13675588,0.18790747,-0.37783292,-0.36957896,-0.0055060843,0.23385462,0.17973527,-0.054864485,0.097657844,0.47753257,0.31033333333333335,66.92,1.134346923711319
0.91,0.0,0.0,0.0009033423667570428,0.0,0.0002708314525593328,8.507871720175864e-05,0.000902527075812193,0.0902527075812193,0.417879948913898,0.4971020353140624,0.0,0.0002856619385879365,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,138040,0.13143523,0.08197775,0.0860611,0.53910816,0.18830958,0.17083922,-0.39264414,-0.14883646,-0.3392801,-0.06677917,0.45588335,0.16244371,-0.04106451,0.13496312,0.21313,0.13370967,0.0,29.89,0.531580330045861
0.0,0.000604960677555999,0.0,0.0,0.00024189646831156118,0.0001511715797430074,2.631697966681834e-05,0.0006045949214026566,0.060459492140265664,0.7715996578239025,0.3808420765766714,0.0006047778050093447,0.0004937990145263524,0.0,0.0,71.53733528550512,1687333.3333333333,1500800.0,1.0967484008528778,162074.07407407407,0.24815351025697818,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207940,-0.0808143,-0.23052402,0.28251415,0.38150215,0.10851217,0.024901003,-0.2813495,-0.006793654,-0.41928792,-0.30108622,0.2062241,0.24839273,0.08906542,-0.017877165,0.25472522,0.4237347,0.46855,60.0,0.6626297646499137
5.12,0.0012195121951219523,0.0012195121951219523,0.0012195121951219523,0.0009753718605218121,0.0008533463367060727,5.424716558555254e-05,0.0012180267965895102,0.12180267965895102,0.29440024020373157,0.4664327858392071,0.0005453824335365423,0.0003856436170937028,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,267260,-0.07480539,-0.24558096,0.34247997,0.29832458,-0.036496367,0.043235492,-0.33738148,0.17381793,-0.32222378,-0.35420144,0.18282779,0.20752089,0.12753733,-0.07049645,0.20883109,0.45819223,0.946,70.42,0.07226631303726509
-0.68,0.0,0.0,0.0,0.0,-6.848845969435384e-05,6.541979289620414e-06,0.001369863013694877,0.1369863013694877,0.23120575939142565,0.3346354166644881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,310200,0.21892603,0.3572954,-0.17574504,0.28810713,0.28778046,0.21198766,-0.24093251,-0.3198957,-0.01635688,0.27230966,0.40839595,0.022716992,-0.22192453,0.19208458,0.18956381,-0.2420259,0.0,68.17,0.0
-0.23,-0.002277904328018221,0.0,0.0,-0.0018231540565169448,-0.0011402508551876212,8.545683570782003e-06,0.0022831050228300075,0.22831050228300076,0.44386585099098635,0.40582800284251613,0.0016125609495020166,0.0015203370432926777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,323410,-0.10470082,-0.25906456,0.3842215,0.29543453,-0.13751595,-0.07056088,-0.23586498,0.23154433,-0.37677574,-0.3324971,0.11131686,0.23209515,0.14706635,-0.009667086,0.21002823,0.41142842,0.912,68.29,1.3518467442724416
