섹터,소분류1,소분류2,소분류3,기업 
기타,벤처캐피털,,,"우리기술투자, 스틱인베스트먼트, 미래에셋벤처투자, 아주IB투자, 한국캐피탈, SBI인베스트먼트, 에이티넘인베스트, LB인베스트먼트, 나우IB, SV인베스트먼트, DSC인베스트먼트, 대성창투, 스톤브릿지벤처스, 린드먼아시아, HB인베스트먼트, 큐캐피탈, 컴퍼니케이, 메이슨캐피탈, TS인베스트먼트, 캡스톤파트너스, 플루토스"
기타,카드,,,삼성카드
기타,금융,,,"다우기술, 에프앤가이드, 고려신용정보, 리드코프"
기타,신용정보 ,,,"NICE평가정보, 한국기업평가, 이크레더블, 나이스디앤비, SCI평가정보"
제조사 ,,,,LG디스플레이
소재,공정,,,"엘티씨, 와이엠씨, 유아이디"
소재,패널,,,"디티씨, 일진디스플, 인지디스플레"
소재,필름,,,"세진티에스, HB테크놀러지, 오성첨단소재, 엘엠에스, 상보, 나노캠텍, 미래나노텍, GRT, 코이즈, 아이컴포넌트, 신화인터텍, 에이치엔에스하이텍"
소재,OLED,,,"덕산테코피아, 덕산네오룩스, 이녹스첨단소재, 피엔에이치테크, 풍원정밀, 이엠앤아이, 핌스, 한켐, 에스켐"
소재,부품,,,"파인디앤씨, 삼진엘앤디, 위지트"
소재,SMT,,,"한국컴퓨터, 제이엠티"
장비,포토 ,,,나래나노텍
장비,열처리,,,"비아트론, 예스티"
장비,식각,,,"포인트엔지니어링, 아이씨디, 인베니아"
장비,세정,,,"DMS, 에프엔에스테크, 디바이스이엔지"
장비,증착,,,"선익시스템, 야스, 아바코, HB솔루션"
장비,패널,,,"선익시스템, 야스, 아바코, HB솔루션"
장비,패키징,,,"신도기연, 에스에이티이엔지, 파인텍, 디에스케이"
장비,OLED,,,"AP시스템, 케이피에스, 힘스, 동아엘텍, 이엘피"
장비,검사,,,"디아이티, 에스엔유, 영우디에스피, 소니드, 프로이천, 넥스트아이, 디이엔티"
장비,기타 ,,,"참엔지니어링, 엔젯"
LED,산업용,,,"서울반도체, 서울바이오시스, 금호에이치티, 우리바이오, 루멘스, 클라우드에어, 우리이앤엘, 우리엔터프라이즈"
LED,일반용,,,"아이엘사이언스, 소룩스, 금호전기 "
