섹터,소분류1,소분류2,소분류3,기업 
발전,기자재,,,"비에이치아이, 삼영엠텍, 에어레인"
발전,바이오,,,"제이씨케미칼, 지오릿에너지, 에코바이오, 에스아이리소스, DS단석"
발전,"정비, 관리 ",,,"한전KPS, 한전산업, 수산인더스트리, 일진파워, 금화피에스시, 우진엔텍"
전기,기자재,가정용,,제일일렉트릭
전기,기자재,철 구조물,,보성파워텍
전기,기자재,비상 발전기,,지엔씨에너지
전기,기자재,금구류,,"제룡산업, 세명전기"
전기,기자재,계량기 ,,"피에스텍, 누리플렉스, 옴니시스템"
전기,기자재,전선,,"대한전선, 일진전기, 가온전선, LS에코에너지, 대원전선, 서남"
전기,송수배전,,,"LS ELECTRIC, HD헌대일렉토리, 효성중공업, 산일전기, 제룡전기, 광명전기, 서전기전, 지투파워, 피앤씨데크"
전기,저장장치,,,"두산퓨얼셀, 비츠로셀 , 비츠로테크, 서진시스템 , 범한퓨얼셀, 에스퓨얼셀"
전기,유틸리티,,,그리드위즈
가스,도시가스,,,"한국가스공사, 예스코홀딩스, 대성에너지, 지에스이, 서울가스, 경동도시가스 , 인천도시가스, 삼천리"
가스,LPG,,,"SK가스, E1"
모듈,,,,"현대모비스, 현대위아"
보디 ,헤드램프,,,"에스엠, 에코볼트"
보디 ,고무,,,"DRB동일, 동일고무벨트, 평화산업, 화승코퍼레이션, 화승알앤에이, 동아화성"
보디 ,차체,,,"명신산업, 성우하이텍, 서연이화, 엠에스오토텍, 피에이치에이, 아진산업, 에코플라스틱, 삼보모터스, 세원몰산, 네오티스, 동원금속, 우신시스템, 일지테크, 세동, 세원정공"
보디 ,시트,,,"이원컴포텍, 대원산업, 현대공업, 계양전기, SG글로벌, 일정실업, 대유에이텍, 아이원, SG&G, 두올"
보디 ,내외장재,,,"엔브이에이치코리아, 케이비아이동국실업, 한국큐빅, 삼영무역, 휴림에이텍, 덕양산업, BGF에코머티리얼즈, HDC현대EP, GH신소재"
섀시,"타이어, 휠",,,"한국타이어앤테크놀로지, 넥센타이어, 금호타이어, 다이나믹디자인, 핸즈코퍼레이션"
섀시,엔진,,,"SNT모티브, 모토닉, 유니테크노, 인지컨트를스, 유라테크, 에스엠벡셀, 유성기업, 동양피스톤, CBI, 태원물산, 캐스텍코리아, 대동금속, 한주라이트메탈"
섀시,동력 전달 장치,,,"SNT다이내믹스, 디아이씨, 한일단조, 유니크, 지엠비코리아, 한국무브넥스, 삼기, 경창산업, 체시스, 네오오토, 디와이씨, 서진오토모티브, 오리엔트정공, 씨티알모빌리티"
섀시,"조향, 제동, 현가 장치",,,"HL만도, 우수AMS, 오스템, KB오토시스, 새론오토모티브, 화신, 상신브레이크, 화신정공, DH오토리드"
전자 장치,,,,"한국단자, 아이에이, 에코캡, 오비고, 이지트로닉스, 엣지파운드리, 모베이스전자, 영화테크, 모베이스, 에스오에스랩, 삼현, 인팩, 티메이치엔, 라닉스, 미디어젠, 스마트레이더시스템, 탑런토탈솔루션"
공조 장치,,,,"한온시스템, 우리산업, 삼성공조, 폴라리스세원, 아진전자부품, 성창오토텍"
인포테인먼트,음향,,,"에스텍, DH오토웨어"
인포테인먼트,영상,,,"팅크웨어, 모트렉스, 유비벨록스, 모바일어플라이언스, 파인디지털, 백금T8A"
기타 ,,,,"세방전지, 대원강업, SJG세종, 삼원강재, SJM, 코리아에프티, 구영테크, 영화금속, 디젠스, 대성파인텍, 와이엠, 서연탑메탈, 태양금속, 팬스타엔터프라이즈, 풍강"
제조사,,,,"현대차, 기아, KG모빌리티 "
전기차 ,배터리 ,배터리 제조사 ,,"LG에너지솔루션, 삼성SDI, SK이노베이션 "
전기차 ,배터리 ,소재 ,양극재,"에코프로비엠, 에코프로머티, 엘앤에프, 코스모신소재, 대보마그네틱, 에코앤드림, DI동일, 삼아알미늄"
전기차 ,배터리 ,소재 ,음극재 ,"포스코퓨처엠, 대주전자재료, 나노신소재, 롯데에너지머티리얼즈, 솔루스첨단소재"
전기차 ,배터리 ,소재 ,전해액,"천보, 동화기업, 엔켐, 켐트로스, 티엔엔터테인먼트"
전기차 ,배터리 ,소재 ,분리막,"SK아이이테크놀로지, 더블유씨피"
전기차 ,배터리 ,소재 ,"캡, 팩","상아프론테크, 신흥에스이씨, 상신이디피, 나라엠앤디, 삼기이브이, 에이에프더블류, 알멕"
전기차 ,배터리 ,소재 ,기타,"테이팩스, 탑머티리얼, 신성에스티, 이닉스"
전기차 ,배터리 ,장비,열처리,원준
전기차 ,배터리 ,장비,전극 ,"피엔티, 씨아이메스, 필옵틱스, 강원에너지, 티에스아이, 지아이텍, 에이치와이티씨, 윤성에프앤씨, 제일엠맨에스"
전기차 ,배터리 ,장비,조립,"하나기술, 엠플러스, 유일에너테크, 나인테크, 필에너지, 한빛레이저, 피엔티엠에스"
전기차 ,배터리 ,장비,테스트,"엔시스, 브이원텍, 이노메트리, 자비스, 민테크, 아이비젼웍스"
전기차 ,배터리 ,장비,활성화,"원익피앤이, 에이프로"
전기차 ,배터리 ,장비,자동화,"코윈테크, 케이엔에스, 엠오티"
전기차 ,배터리 ,부품,,"한중엔시에스, 와이엠텍, 성우"
전기차 ,배터리 ,리사이클링,,"성일하이텍, 코스모화학, 새빗켐"
전기차 ,수소전기차,,,일진하이솔루스
유통,용품,,,오토앤
유통,중고차,,,케이카
유통,렌털,,,"롯데렌탈, 레드캡투어"
유통,수입차 ,,,"코오롱모빌리티그룹, 도이치모터스, CNH"
특수차,,,,"KR모터스, 이엔플러스, 오텍"
선박,,,,"삼성중공업, 한화오션, HD현대중공업, HD한국조선해양, HD현대미포"
기자재 ,엔진,,,"HD현대마린솔루션, 한화엔진, HD현대마린엔진, STX엔진, 케이에스피, 케이프, 인화정공, 에스앤더블류"
기자재 ,설비,소화장치,,엔케이
기자재 ,설비,조명,,대양전기공업
기자재 ,설비,통신장비,,삼영이엔씨
기자재 ,설비,크레인,,KS인더스트리
기자재 ,설비,평형수 처리장치,,한라IMS
기자재 ,설비,블록,,"현대힘스, 메디콕스"
기자재 ,설비,보냉재,,"한국카본, 동성화인텍"
기자재 ,설비,파이프스풀,,"동방선기, 일승"
기자재 ,설비,데크하우스 ,,"세진중공업, 오리엔탈정공"
제품,가전,,,"LG전자, 에브리봇, 하츠, 파세코, 위닉스, LK삼양, 남성, 아남전자, 더테크놀로지, 신일전자, PN풍년, 자이글, 인터엠, 에이디칩스"
제품,산업,콘덴서,,"삼성전기, LS머트리얼즈, 삼화콘덴서, 삼화전기, 코칩, 삼영전자, 뉴인텍, 삼영에스앤씨, 성문전자, 비나텍, 코칩"
제품,산업,PCB,,"이수페타시스, 대덕전자, 심텍, 코리아써키트, 와이엠티, 티엘비, 아비코전자, 타이거일렉, 화인써키트, 태성, 현우산업, 케이피엠테크, 디에이피, 에이엔피"
제품,산업,검사 장비,,"한울반도체, 고영, 퓨런티어, 펨트론, 코셈, 와이제이링크"
제품,산업,자동화 기기,,"케이씨티, 씨아이테크"
제품,산업,전원 공급 장치,,"와이투솔루선, 동양이엔피, 성호전자, 파워넷 서울전자통신"
제품,산업,기타,,"에스티큐브, 센코, 트루엔, 디티앤씨, 카스, 에이텀, 포인트모바일, 파이버프로, 에이치시티"
제품,사무 ,PC ,,"앱코, 제이씨현시스템, 에스유홀딩스, 에이텍, 피씨디렉트, 주연테크, 우리로, 한국정보공학"
제품,사무 ,프린터,,"신도리코, 빅솔론, 잉크테크, 큐에스아이, 엠젠솔루션, 디지아이, 에이루트, 아이디피, 딜리, 파커스"
부품,가전,,,"신성델타테크, 솔루엠, 새로닉스, 한솔테크닉스, 대동전자, 에스씨디, 삼진, 경인전자, 엔시트론"
부품,산업,차폐 소재 ,,"모다이노칩, 레몬, 아모센스, 상신전자, 동일기연, 다산솔루에타"
부품,산업,페라이트,,"노바텍, 유니온머티리얼, EG, 삼화전자"
부품,산업,모터 ,,"이랜시스, 모아텍, 링크드"
부품,산업,커넥터,,"신화콘텍, 씨엔플러스, 우주일렉트로, 텔콘RF제약"
부품,산업,기타 ,,"나노팀, 하이딥, 광전자, 시지트로닉스, 아이씨에이치, 코스텍시스, 써니전자, 빛샘전자"
유통 ,,,,"에스에이엠티, AJ네트웍스, 롯데하이마트, 드림시큐리티, 삼지전자"
플랫폼,방송,OTT,,"SOOP, THE E&M"
플랫폼,방송,지상파,,"SBS, KNN, 티비씨"
플랫폼,방송,유료,위성,스카이라이프
플랫폼,방송,유료,유선,"LG헬로비전, 씨씨에스"
플랫폼,방송,PP,,"CJENM, YTN, 한국경제TV, 애니플러스"
플랫폼,영화,,,"CJ CGV, 콘텐트리중앙"
플랫폼,음원,,,"NHN벅스, 드림어스컴퍼니, 지니뮤직, YG PLUS, 알비더블유"
플랫폼,연예기획사,,,"하이브, JYP Ent, 에스엠, 와이지엔터테인먼트, 에프엔씨엔터, 큐브엔터, 판타지오, 엔에스이엔엠"
플랫폼,신문,,,"아시아경제, 디지틀조선"
플랫폼,커뮤니케이션,,,디어유
콘텐츠,제작,,,"스튜디오드래곤, 위지워스튜디오, 에이스토리, NEW, 삼화네트웍스, 빅텐츠, 아티스트스튜디오, 팬엔터테인먼트, 키이스트, 쇼박스, 아센디오, 바른손이앤에이, 캐리소프트, 엔투텍, 닷밀"
콘텐츠,광고,,,"제일기획, 이노션, SM C&C, 아티스트유나이티드, 나스미디어, 엔피, HS애드, 인크로스, 오리콤, 플레이디, 엔비티, FSN, 이엠넷, 모비데이즈, 와이즈버즈, 드림인사이트, 차이커뮤니케이션"
콘텐츠,웹툰,,,"디앤씨미디어, 미스터블루, 키다리스튜디오, 핑거스토리, 와이랩"
콘텐츠,캐릭터,,,"스튜디오미르, SAMG엔터, 대원미디어, 손오공, 오로라"
콘텐츠,특수효과,,,"자이언트스텝, 덱스터, 이노시뮬레이션, 포비이포, 스코넥 , 맥스트, M83 케이쓰리아이"
인프라,솔루션,,,"디지캡, 알티캐스트, 메쎄이삼"
인프라,장비,,,"휴맥스, 가온그룹, 탑코미디어, 알로이스"
인프라,유통,,,"코퍼스코리아, iMBC, 블리츠웨이스튜디오, SM Life Design"
사업자,,,,"SK텔레콤, KT, LG유플러스, 세종텔레콤"
장비,유선,네트워크,,"광무, 유비쿼스, 다산네트웍스, 코위버, 한울소재과학, 파이오링크, 아이크래프트"
장비,유선,광전송,,"자람테크놀로지, 에치에프알, 오이솔루션, 대한광통신, 우리넷, 빛과전자, 옵티시스, 옵티코어, 이노인스트루먼트"
장비,유선,계측,,"이노와이어리스, 한국첨단소재"
장비,유선,단말장비,,"머큐리, 다보링크"
장비,무선,안테나,,"휴림네트웍스, 센서뷰"
장비,무선,전력 증폭기,,RFHIC
장비,무선,RRH,,"케이엠더블유, 웨이브일렉트로"
장비,무선,RF,,"RF머트리얼즈, 기가레인, 에이스테크"
장비,무선,중계기,,"쏠리드, 알엔투테크놀로지, 에프알텍, CS, 라이콤"
장비,무선,스몰셀,,이노와이어리스
장비,무선,공용기지국,,와이어블
장비,위성,,,"인텔리아테크, 쎄트렉아이, AP위성"
장비,기타 ,알뜰폰,,"인스코비, 아이즈비전"
장비,기타 ,무전기,,SGA솔루션즈
솔루션,,,,"네이블, 유엔젤, 에스넷, 텔코웨어, 이루온, 수산아이앤티"
컨택센터 ,,,,"효성ITX, Ktis, KTcs, 브리지텍, 이씨에스, 한솔인티큐브 "
화장품,제품,종합,,"LG생활건강, 아모레퍼시픽, 애경산업"
화장품,제품,기초,,"브이티, 마녀공장, 코리아나, 아우딘퓨쳐스, CSA 코스믹"
화장품,제품,색조,,"클리오, 아이패밀리에스씨, 본느, 삐아"
화장품,제품,브랜드숍,,"잇츠한불, 에이블씨엔씨, 토니모리"
화장품,제품,헤어,,"세화피앤씨, 폴라리스우노, 이노진"
화장품,제품,마스크팩,,셀바이오휴먼텍
화장품,제품,보습제,,네오팜
화장품,ODM/OEM,,,"한국콜마, 코스맥스, 씨앤씨인터내셔널, 잉글우드랩, 제닉, 씨티케이, 스킨앤스킨, 코스메카코리아, 제이준코스메틱, 한국화장품제조, 코디, 뷰티스킨"
화장품,소재,,,"펌텍코리아, 대봉엘에스, 라파스, 엔에프씨, 에이에스텍, 선진뷰티사이언스, 현대퓨처넷, 현대바이오랜드, 제이투케이바이오, 내츄럴엔도텍"
화장품,유통,,,"실리콘투, 한국화장품, 인크레더블버즈, 바른손, 글로본, 디와이디, 코스나인, 청담글로벌"
화장품,기타 ,,,"피엔케이피부임상연구센타, 현대바이오, 제로투세븐"
건강기능식품,,,,"콜마비앤에이치, 서흥, 노바렉스, 쎌바이오텍, 에이치피오, 에이치엘사이언스, 뉴트리, 프롬바이오, 코스맥스엔비티, 알피바이오, 팜스빌, 비엘팜텍, 휴럼, 비피도"
건설,종합,,,"현대건설, GS건설, 대우건설, DL이엔씨, 코오롱글로벌, 금호건설, 동부건설, 계룡건설, HL D&I, 한신공영, 웰크론, 웰크론한텍, 태영건설"
건설,토목,,,"삼호개발, 우원개발, 하이드로리튬,동아지질, 삼부토건, 동신건설, 특수건설, 남광토건"
건설,건축,,,"HDC현대산업개발, 아이에스동서, HJ중공업, 동원개발, 서희건설, 자이에스앤디, 진흥기업, 일성건설, HS화성, KCC건설, 서한, 범양건영, 이화공영, 대원, 신세계건설, KH 건설, 남화토건, 신원종합개발, 상지건설, 삼일기업공사, KD"
건설,플랜트,,,"삼성E&A, 제이오, 금양그린파워, 에쓰씨엔지니어링, SGC E&C, 성도이엔지, CNT85"
건설,설비,,,"SNT에너지, 제이엔케이글로벌, 누리플랜, 우진아이엔에스, KIB플러그에너지"
건설,엔지니어링,,,"한미글로벌, 희림, 도화엔지니어링, 한국종합기술, 유신"
전문,스마트홈,,,"코콤, 현대에이치티, HDC랩스"
전문,인테리어,,,"국보디자인, 시공테크, 베노티앤알"
전문,해저 케이블,,,LS마린솔루션
전문,환경복원,,,자연과환경
환경,폐기물,,,"인선이엔티, 코엔텍, 와이엔텍"
환경,수처리,,,한성크린텍
환경,엔지니어링,,,KC코트렐
인터넷,,,,"NAVER, 카카오, 이스트에이드"
보안,정보 보안,암호인증,,"라온시큐어, 아톤, 인지소프트"
보안,정보 보안,네트워크,,"안랩, 윈스, 지니언스, 엑스게이트, 휴네시온"
보안,정보 보안,보안 관리,,"이스트소프트, 샌즈랩, 모니터랩, 신시웨이, 한싹, 이글루, 시큐브, 에스에스알, 싸이버원, 벨로크"
보안,정보 보안,정보 유출 방지,,"지란지교시큐리티, 케이사인, 파수, 소프트캠프"
보안,보안 서비스 ,관제,,"에스원, 이노뎁, 카티스"
보안,보안 서비스 ,장비,,"아이디스, 포커스에이치엔에스, 하이트론, 인콘, 아이씨티케이"
보안,보안 서비스 ,인증서,,"한국정보인증, 한국전자인증, 인포바인"
보안,보안 서비스 ,생체 인식,,"슈프리마, 엑스페릭스, 유니온커뮤니티, 알체라"
소프트웨어,금융,,,"더존비즈온, 웹케시, 비즈니스온, 크레오에스지, 시큐센, 영림원소프트랩, 아이티아이즈, 미래아이앤지, 이니텍, 뱅크웨어글로벌"
소프트웨어,업무,,,"엠로, 한글과컴퓨터, 폴라리스오피스, 슈어소프트테크, 에스피소프트, 알서포트, 코난테크놀로지, 이에이트, MDS테크, 토마토시스템, 포시에스, 비아이매트릭스, 인스웨이브시스템즈, 웨이버스, 트윔, 핸디소프트, 산돌, 오브젠, 키네마스터, 아이퀘스트, 버넥트, 케이웨더, 솔트웨어, 플랜티넷, 엔텔스, 모코엠시스, 세중, 핀텔, 비트나인, 디모아, 인스피언, 사이냅소프트"
소프트웨어,자동화,,,"링크제니시스, 비츠로시스, 엠아이큐브솔루션, 이노룰스, 코닉오토메이션, 엠투아이, 이삭엔지니어링 "
서비스,네트워크,,,"오픈베이스, 엑셈, 오파스넷, 링네트, 콤텍시스템"
서비스,AI,,,"솔트룩스, 위세아이텍, 비투엔, 마음ai,모아데이타, 바이브컴퍼니, 비큐ai, 씨이랩, 크라우드웍스, 셀바스ai, 씨유박스, 라온피플"
서비스,SI,그룹사,,"삼성에스디에스, 신세계 I&C, DB, 현대오토에버, 아시아나IDT, 롯데이노베이트"
서비스,SI,비관계사,,"케이씨에스, 오상자이엘, 플래티어, 정원엔시스, 대신정보통신, 쌍용정보통신, SGA"
서비스,플랫폼,,,"사람인, 원티드랩, 오픈놀, 쿠콘, 핑거, 플리토"
서비스,정보 ,,,인포뱅크
서비스,리서치,,,"엠브레인, 리파인"
서비스,인프라,,,"가비아, 케이아이엔엑스, 브레인즈컴퍼니, 인성정보"
서비스,스토리지,,,"데이타솔루션, 소프트센, 율호, 나무기술"
결제,플랫폼,,,"카카오페이, 다날, 코나아이, KG모빌리언스, 헥토파이낸셜, 포스뱅크 "
결제,PG/VAN,,,"KG이니시스, 한국전자금융, 헥토이노베이션, 한네트, NHN KCP, 한국정보통신, 푸른기술, 로지시스, 갤럭시아머니트리, 나이스정보통신, SBI핀테크솔루션즈 "
내외장재,내장재,,,"벽산, 에스와이"
내외장재,창호,,,"LX하우시스, 남선알미늄"
내외장재,유리,,,"KCC글라스, 국영지앤엠"
내외장재,목재,,,"동화기업, 한솔홈데코, 이건산업, SUN&L, 유니드비티플러스"
내외장재,도료,,,"삼화페인트, 노루페인트, 강남제비스코, 조광페인트"
자재,거푸집,,,"삼목에스폼, 금강공업"
자재,아스콘,,,SG 
자재,석재,,,"라이온켐텍, 일신석재"
자재,욕실,,,"대림B&Co, 대림통상, 와토스코리아"
