섹터,소분류1,소분류2,소분류3,기업,기업_코드포함
제품,산업,기타,,"에스티큐브, 센코, 트루엔, 디티앤씨, 카스, 에이텀, 포인트모바일, 파이버프로, 에이치시티","에스티큐브 (052020), 센코 (347000), 트루엔 (417790), 디티앤씨 (187220), 카스 (016920), 에이텀 (355690), 포인트모바일 (318020), 파이버프로 (368770), 에이치시티 (072990)"
제품,사무 ,PC ,,"앱코, 제이씨현시스템, 에스유홀딩스, 에이텍, 피씨디렉트, 주연테크, 우리로, 한국정보공학","앱코 (129890), 제이씨현시스템 (033320), 에스유홀딩스, 에이텍 (045660), 피씨디렉트 (051380), 주연테크 (044380), 우리로 (046970), 한국정보공학 (039740)"
제품,사무 ,프린터,,"신도리코, 빅솔론, 잉크테크, 큐에스아이, 엠젠솔루션, 디지아이, 에이루트, 아이디피, 딜리, 파커스","신도리코 (029530), 빅솔론 (093190), 잉크테크 (049550), 큐에스아이 (066310), 엠젠솔루션 (032790), 디지아이 (043360), 에이루트 (096690), 아이디피 (332370), 딜리 (131180), 파커스 (065690)"
부품,가전,,,"신성델타테크, 솔루엠, 새로닉스, 한솔테크닉스, 대동전자, 에스씨디, 삼진, 경인전자, 엔시트론","신성델타테크 (065350), 솔루엠 (248070), 새로닉스 (042600), 한솔테크닉스 (004710), 대동전자 (008110), 에스씨디 (042110), 삼진 (032750), 경인전자 (009140), 엔시트론 (101400)"
부품,산업,차폐 소재 ,,"모다이노칩, 레몬, 아모센스, 상신전자, 동일기연, 다산솔루에타","모다이노칩 (080420), 레몬 (294140), 아모센스 (357580), 상신전자 (263810), 동일기연 (032960), 다산솔루에타 (154040)"
부품,산업,페라이트,,"노바텍, 유니온머티리얼, EG, 삼화전자","노바텍 (285490), 유니온머티리얼 (047400), EG (037370), 삼화전자 (011230)"
부품,산업,모터 ,,"이랜시스, 모아텍, 링크드","이랜시스 (264850), 모아텍 (033200), 링크드 (193250)"
부품,산업,커넥터,,"신화콘텍, 씨엔플러스, 우주일렉트로, 텔콘RF제약","신화콘텍 (187270), 씨엔플러스 (115530), 우주일렉트로 (065680), 텔콘RF제약 (200230)"
부품,산업,기타 ,,"나노팀, 하이딥, 광전자, 시지트로닉스, 아이씨에이치, 코스텍시스, 써니전자, 빛샘전자","나노팀 (417010), 하이딥 (365590), 광전자 (017900), 시지트로닉스 (429270), 아이씨에이치 (368600), 코스텍시스 (355150), 써니전자 (004770), 빛샘전자 (072950)"
유통 ,,,,"에스에이엠티, AJ네트웍스, 롯데하이마트, 드림시큐리티, 삼지전자","에스에이엠티 (031330), AJ네트웍스 (095570), 롯데하이마트 (071840), 드림시큐리티 (203650), 삼지전자 (037460)"
플랫폼,방송,OTT,,"SOOP, THE E&M","SOOP (067160), THE E&M (089230)"
플랫폼,방송,지상파,,"SBS, KNN, 티비씨","SBS (034120), KNN (058400), 티비씨 (033830)"
플랫폼,방송,유료,위성,스카이라이프,스카이라이프 (053210)
플랫폼,방송,유료,유선,"LG헬로비전, 씨씨에스","LG헬로비전 (037560), 씨씨에스 (066790)"
플랫폼,방송,PP,,"CJENM, YTN, 한국경제TV, 애니플러스","CJENM, YTN (040300), 한국경제TV (039340), 애니플러스 (310200)"
플랫폼,영화,,,"CJ CGV, 콘텐트리중앙","CJ CGV (079160), 콘텐트리중앙 (036420)"
플랫폼,음원,,,"NHN벅스, 드림어스컴퍼니, 지니뮤직, YG PLUS, 알비더블유","NHN벅스 (104200), 드림어스컴퍼니 (060570), 지니뮤직, YG PLUS (037270), 알비더블유 (361570)"
플랫폼,연예기획사,,,"하이브, JYP Ent, 에스엠, 와이지엔터테인먼트, 에프엔씨엔터, 큐브엔터, 판타지오, 엔에스이엔엠","하이브 (352820), JYP Ent, 에스엠 (041510), 와이지엔터테인먼트 (122870), 에프엔씨엔터 (173940), 큐브엔터 (182360), 판타지오 (032800), 엔에스이엔엠 (078860)"
플랫폼,신문,,,"아시아경제, 디지틀조선","아시아경제 (127710), 디지틀조선 (033130)"
플랫폼,커뮤니케이션,,,디어유,디어유 (376300)
콘텐츠,제작,,,"스튜디오드래곤, 위지워스튜디오, 에이스토리, NEW, 삼화네트웍스, 빅텐츠, 아티스트스튜디오, 팬엔터테인먼트, 키이스트, 쇼박스, 아센디오, 바른손이앤에이, 캐리소프트, 엔투텍, 닷밀","스튜디오드래곤 (253450), 위지워스튜디오, 에이스토리 (241840), NEW (160550), 삼화네트웍스 (046390), 빅텐츠, 아티스트스튜디오 (200350), 팬엔터테인먼트 (068050), 키이스트 (054780), 쇼박스 (086980), 아센디오 (012170), 바른손이앤에이 (035620), 캐리소프트 (317530), 엔투텍 (227950), 닷밀 (464580)"
콘텐츠,광고,,,"제일기획, 이노션, SM C&C, 아티스트유나이티드, 나스미디어, 엔피, HS애드, 인크로스, 오리콤, 플레이디, 엔비티, FSN, 이엠넷, 모비데이즈, 와이즈버즈, 드림인사이트, 차이커뮤니케이션","제일기획 (030000), 이노션 (214320), SM C&C (048550), 아티스트유나이티드, 나스미디어, 엔피 (291230), HS애드 (035000), 인크로스 (216050), 오리콤 (010470), 플레이디 (237820), 엔비티 (236810), FSN (214270), 이엠넷 (123570), 모비데이즈 (363260), 와이즈버즈 (273060), 드림인사이트 (362990), 차이커뮤니케이션 (351870)"
콘텐츠,웹툰,,,"디앤씨미디어, 미스터블루, 키다리스튜디오, 핑거스토리, 와이랩","디앤씨미디어 (263720), 미스터블루 (207760), 키다리스튜디오 (020120), 핑거스토리 (417180), 와이랩 (432430)"
콘텐츠,캐릭터,,,"스튜디오미르, SAMG엔터, 대원미디어, 손오공, 오로라","스튜디오미르 (408900), SAMG엔터 (419530), 대원미디어 (048910), 손오공 (066910), 오로라 (039830)"
콘텐츠,특수효과,,,"자이언트스텝, 덱스터, 이노시뮬레이션, 포비이포, 스코넥 , 맥스트, M83 케이쓰리아이","자이언트스텝 (289220), 덱스터 (206560), 이노시뮬레이션 (274400), 포비이포, 스코넥 (276040), 맥스트, M83 케이쓰리아이"
인프라,솔루션,,,"디지캡, 알티캐스트, 메쎄이삼","디지캡 (197140), 알티캐스트 (085810), 메쎄이삼"
인프라,장비,,,"휴맥스, 가온그룹, 탑코미디어, 알로이스","휴맥스 (115160), 가온그룹 (078890), 탑코미디어 (134580), 알로이스 (297570)"
인프라,유통,,,"코퍼스코리아, iMBC, 블리츠웨이스튜디오, SM Life Design","코퍼스코리아 (322780), iMBC (052220), 블리츠웨이스튜디오, SM Life Design (063440)"
